metode	side	reftegn	reford	cdist	wdist	cer	wer
baseline_tesseract	Scan4_p003	1467	276	153	91	0.10429	0.32971
baseline_tesseract	Scan4_p027	1554	269	314	139	0.20206	0.51673
baseline_tesseract	Scan4_p031	1509	265	399	167	0.26441	0.63019
baseline_tesseract	Scan4_p051	1661	268	542	171	0.32631	0.63806
baseline_tesseract	Scan4_p054	1626	282	389	168	0.23924	0.59574
baseline_tesseract	Scan4_p079	1576	286	155	95	0.09835	0.33217
baseline_tesseract	Scan4_p084	1523	262	548	222	0.35982	0.84733
baseline_tesseract	Scan4_p100	1562	280	160	93	0.10243	0.33214
vision_claude_opus_4_8	Scan4_p003	1467	276	64	29	0.04363	0.10507
vision_claude_opus_4_8	Scan4_p027	1554	269	128	36	0.08237	0.13383
vision_claude_opus_4_8	Scan4_p031	1509	265	34	28	0.02253	0.10566
vision_claude_opus_4_8	Scan4_p051	1661	268	157	48	0.09452	0.17910
vision_claude_opus_4_8	Scan4_p054	1626	282	39	29	0.02399	0.10284
vision_claude_opus_4_8	Scan4_p079	1576	286	35	27	0.02221	0.09441
vision_claude_opus_4_8	Scan4_p084	1523	262	174	59	0.11425	0.22519
vision_claude_opus_4_8	Scan4_p100	1562	280	36	26	0.02305	0.09286
adaptiv_a[151x151+8%]	Scan4_p084	1523	262	1185	397	0.77807	1.51527
adaptiv_a[201x201+10%]	Scan4_p084	1523	262	1738	750	1.14117	2.86260
adaptiv_a[251x251+12%]	Scan4_p084	1523	262	1548	667	1.01641	2.54580
